"word.subject","word.plot_names","word.question_type","word.score","word.sentiment_score"
16,"sin_frf_partial","meaningfulness",40,-0.0992063492063492
16,"sin_frfr","meaningfulness",50,-0.185714285714286
16,"sin_rfrf","meaningfulness",20,-0.284126984126984
16,"logistic_rise","meaningfulness",50,0.266666666666667
16,"logistic_fall","meaningfulness",30,-0.434920634920635
16,"positive_change_full","meaningfulness",10,-0.00714285714285714
16,"positive_change_partial","meaningfulness",30,-0.134920634920635
16,"negative_change_full","meaningfulness",50,-0.142063492063492
16,"negative_change_partial","meaningfulness",50,0.136904761904762
16,"linear_rise_sharp_fall","meaningfulness",10,-0.480952380952381
16,"linear_rise_sharp_fall_exp_rise","meaningfulness",80,0.0353174603174603
17,"linear_rise","meaningfulness",56,0.398809523809524
17,"linear_fall","meaningfulness",61,-0.411111111111111
17,"linear_low","meaningfulness",53,-0.582142857142857
17,"linear_middle","meaningfulness",57,0.0607142857142857
17,"linear_high","meaningfulness",100,0.487698412698413
17,"exp_rise_convex","meaningfulness",76,0.178174603174603
17,"exp_fall_convex","meaningfulness",63,-0.403571428571429
17,"exp_rise_concave","meaningfulness",76,0.461904761904762
17,"exp_fall_concave","meaningfulness",43,-0.157142857142857
17,"sin_fr_full","meaningfulness",65,0.0531746031746032
17,"sin_fr_partial","meaningfulness",65,0.293650793650794
17,"sin_rf_full","meaningfulness",61,0.0293650793650794
17,"sin_rf_partial","meaningfulness",27,-0.201190476190476
17,"sin_rfr_full","meaningfulness",83,-0.0690476190476191
17,"sin_rfr_partial","meaningfulness",70,-0.0702380952380952
17,"sin_frf_full","meaningfulness",50,-0.231349206349206
17,"sin_frf_partial","meaningfulness",51,-0.0992063492063492
17,"sin_frfr","meaningfulness",61,-0.185714285714286
17,"sin_rfrf","meaningfulness",49,-0.284126984126984
17,"logistic_rise","meaningfulness",56,0.266666666666667
17,"logistic_fall","meaningfulness",61,-0.434920634920635
17,"positive_change_full","meaningfulness",50,-0.00714285714285714
17,"positive_change_partial","meaningfulness",76,-0.134920634920635
17,"negative_change_full","meaningfulness",64,-0.142063492063492
17,"negative_change_partial","meaningfulness",44,0.136904761904762
17,"linear_rise_sharp_fall","meaningfulness",43,-0.480952380952381
17,"linear_rise_sharp_fall_exp_rise","meaningfulness",68,0.0353174603174603
18,"linear_rise","meaningfulness",87,0.398809523809524
18,"linear_fall","meaningfulness",0,-0.411111111111111
18,"linear_low","meaningfulness",0,-0.582142857142857
18,"linear_middle","meaningfulness",45,0.0607142857142857
18,"linear_high","meaningfulness",76,0.487698412698413
